id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12835688,Private basement apartment,6778127,James,,Humboldt Park,41.90534891209353,-87.71958693478378,Entire home/apt,71,1,99,2018-09-29,3.41,1,182
12836660,GREAT LOCATION - CLEAN-UPSCALE 2BD 2BH A+,70082959,Liz,,Near North Side,41.89844897937601,-87.63287651033504,Entire home/apt,150,30,1,2016-05-04,0.03,11,356
12836869,Remodel 1 bedroom Hancock Tower ROOF-TOP DECK,70082959,Liz,,Near North Side,41.89899919282977,-87.62107703321284,Entire home/apt,165,30,0,,,11,326
12836948,2 BEDROOM APARTMENT DOWNTOWN CHICAGO,70082959,Liz,,Near North Side,41.88988483919436,-87.63435851839243,Entire home/apt,229,28,0,,,11,365
12852276,Airbnb Chicago / Vacation Rental,53889826,Bryan,,Portage Park,41.965835714428366,-87.77596064585141,Entire home/apt,85,1,52,2018-09-03,1.78,1,253
12855435,Private Room in Lincoln Park Condo,61868239,Michael,,Lincoln Park,41.929396019153536,-87.66269140164586,Private room,69,1,2,2018-09-30,0.07,2,361
12862860,Great Top Floor City Views & Close To Subway!,22658916,Andy,,West Town,41.89448474279857,-87.65803978823367,Entire home/apt,134,2,87,2018-10-08,2.99,4,165
12867902,Enormous apt with 6 Comfy beds! @Lovely Location!,27332659,Ilona,,Uptown,41.96777647925046,-87.665105459183,Entire home/apt,210,3,81,2018-09-30,2.78,1,250
12868626,Cacao Room UofC Campus,9728432,Vilay,,Hyde Park,41.80079870628906,-87.59872585215753,Private room,70,1,70,2018-09-13,2.58,4,353
12869264,Room in large apt. w/ GREAT location & views!,952939,Kerri,,West Town,41.899904076370724,-87.66200337066562,Private room,85,1,26,2018-10-05,1.43,2,71
12869290,Bright and Spacious Condo in Chicago,4769189,Delphine,,Uptown,41.973939240262936,-87.66130699663013,Entire home/apt,190,3,7,2018-08-12,0.26,1,0
12869372,Great apt. w/ patio and rooftop!,952939,Kerri,,West Town,41.89975237817062,-87.66141522223116,Entire home/apt,280,1,38,2018-09-30,1.31,2,71
12870133,Ocean Room UofC Campus,9728432,Vilay,,Hyde Park,41.80131415902382,-87.59908757748103,Private room,70,1,83,2018-09-29,3.06,4,345
12871814,Old Town/Lincoln Park Vintage Charm,48048331,John,,Lincoln Park,41.913634101301135,-87.64203719563673,Entire home/apt,145,3,130,2018-09-30,4.58,1,115
12874125,中唐【301】Chinatown (Private Bedroom),60390549,Zhi,,Armour Square,41.848499552443066,-87.63114984811773,Private room,49,1,132,2018-10-06,4.61,10,340
12882141,Old Parsonage in Logan Square,19704341,Shayna,,Logan Square,41.92951274102372,-87.71236811272232,Entire home/apt,104,2,77,2018-09-23,2.63,2,304
12890850,Budlong Woods 1bd 1bath,30990608,Paul,,Lincoln Square,41.97956775740254,-87.69131180447944,Entire home/apt,128,1,0,,,1,0
12902339,Stay in a Historic Mansion in Lincoln Park!,20521416,Nick,,Lincoln Park,41.926670199310465,-87.6446582014952,Entire home/apt,200,30,3,2018-09-19,0.12,4,142
12916554,Huge Sunny Perfectly located Condo w/ view,5649246,Imran,,West Town,41.89338604785603,-87.65812589007193,Entire home/apt,199,3,10,2018-09-25,0.34,1,3
12916784,"FANTASTIC LOCATION, FREE PARKING, 5 MN TO DOWNTOWN",55976787,Natalia,,Near West Side,41.87693300243133,-87.64763770037216,Private room,19,1,240,2018-09-24,8.42,32,75
12917317,DOWNTOWN PRIVATE FLOOR & BATHROOM + FREE PARKING,55976787,Natalia,,Near West Side,41.87056893447589,-87.6528036214238,Private room,19,1,245,2018-09-25,8.60,32,102
12918724,Beautiful Chicago Home steps to Wrigley Field! 2,2471877,Michael,,Lake View,41.94759371295536,-87.6522820473653,Private room,55,2,73,2018-10-08,2.73,3,354
12918888,2BR Modern Loft in Hip Ravenswood,1681963,Amanda,,Uptown,41.962237751196525,-87.67192803628036,Entire home/apt,195,3,4,2018-08-06,0.25,2,301
12932496,Great Location! Gold Coast! 07,14241347,Dino,,Near North Side,41.900319110565675,-87.63130031846141,Entire home/apt,114,1,233,2018-10-09,7.98,6,307
12942172,215 WEST MODERN LOOP FURNISHED JR 1 BEDROOM (14),9400379,Chicago Property Concierge,,Loop,41.88339804634339,-87.63525155515708,Entire home/apt,175,31,3,2018-07-15,0.30,29,322
12950188,COOL PLACE - 10 MIN WALK FROM WRIGLEY FIELD,45284138,Kenny,,Lake View,41.93918324128835,-87.65839472971763,Private room,75,2,66,2018-10-10,2.31,1,173
12950970,Rent room in a modern Condo,10613587,Saurin,,West Town,41.89323622101929,-87.65993036573293,Private room,88,3,53,2018-10-04,1.82,4,105
12955743,Loyola Garden Room With Private Bathroom,71205935,Gary And Aitor,,Rogers Park,42.00329470662021,-87.66365281823857,Private room,49,2,59,2018-09-23,2.09,2,325
12955756,Huge Wicker Park Loft - Easy Transportation,28000697,David,,West Town,41.910497018944476,-87.6758848014064,Private room,47,1,261,2018-10-08,8.94,1,128
12963261,5 BR Beautiful Chicago Whole House Rental &Parking,4515039,Eric,,West Ridge,42.01081383863134,-87.68632510900076,Entire home/apt,350,3,16,2018-08-25,0.56,1,4
12968778,"Coach House very near Lakefront, Zoo & Wrigley!",71337943,Bill,,Lincoln Park,41.931475789722185,-87.64816701236765,Entire home/apt,179,2,66,2018-08-28,2.42,1,283
12991101,New 2BD 2BH Great locations RIVER NORTH | Red Line,49626033,Roma,,Near North Side,41.897744060435365,-87.62025889209849,Entire home/apt,175,60,1,2017-06-08,0.06,19,365
12997563,Private Large Room in Lincoln Park,16050115,Liliana,,Lincoln Park,41.922525832106494,-87.65169304394688,Private room,95,2,115,2018-09-30,4.19,3,63
12999537,Logan Square Vintage Rowhouse,71659692,Cheryl,,Logan Square,41.92007334802255,-87.6996005460923,Entire home/apt,250,2,3,2017-06-04,0.13,1,0
13000771,Full Bed & Private Bath near Downtown,14015437,Andrew &  Diane,,Bridgeport,41.836230677102286,-87.6463887666606,Private room,75,2,106,2018-10-08,3.65,1,3
13003641,Vintage Big Bright Top Foor 2br 2bath,3999570,Marcelyn,,West Town,41.904433855862294,-87.68779298010881,Private room,37,18,1,2016-07-31,0.04,3,73
